Team,Opponent,Match_Type,Date,Location,Team_Score,Opponent_Score,Possession_Team,Possession_Opponent,Shots_Team,Shots_Opponent,Fouls_Team,Fouls_Opponent,Yellow_Cards_Team,Yellow_Cards_Opponent,Red_Cards_Team,Red_Cards_Opponent
Spain,Spain,Tournament,2017-10-11,Neutral,2,2,41.330138870877846,39.11151899836772,3,29,16,9,4,0,0,1
Spain,France,Tournament,2017-10-12,Home,1,1,59.3464255605226,63.23185139937115,20,10,19,11,4,4,0,1
Germany,Belgium,Friendly,2017-10-13,Home,0,0,62.30921118330114,41.05453918352704,23,10,14,13,3,4,1,1
Spain,Belgium,Qualifier,2017-10-14,Away,2,3,44.158964881986606,44.499453648030475,2,10,15,9,4,3,1,0
France,Germany,Qualifier,2017-10-15,Away,5,1,36.39717598718084,35.137208066419696,18,9,6,15,3,0,0,0
Argentina,France,Tournament,2017-10-16,Away,3,1,55.933779040369515,34.07019025448876,1,18,8,15,4,1,0,1
Spain,Portugal,Qualifier,2017-10-17,Away,5,4,58.07874412973912,67.2844607514232,1,2,13,5,2,2,0,1
Netherlands,France,Friendly,2017-10-18,Home,1,3,50.14431415580112,37.599129887399094,28,24,9,7,3,4,0,0
Netherlands,England,Qualifier,2017-10-19,Neutral,2,2,35.79764270560062,43.331846202477905,17,5,6,12,0,4,1,0
Germany,England,Friendly,2017-10-20,Home,4,5,63.779469772904484,51.16606795799733,6,21,8,7,0,4,0,1
France,England,Friendly,2017-10-21,Neutral,2,2,55.81063836266067,43.91468530412514,13,11,11,11,1,4,0,0
Argentina,England,Qualifier,2017-10-22,Away,3,2,64.76656995323341,64.80533133515115,21,6,9,14,0,3,0,1
Brazil,Brazil,Friendly,2017-10-23,Away,1,4,67.3187629796033,66.0285905378709,26,8,15,7,1,3,0,1
Portugal,Belgium,Friendly,2017-10-24,Neutral,2,2,62.22791421752275,43.03961829574082,24,8,12,6,0,0,1,1
Argentina,France,Friendly,2017-10-25,Away,5,0,68.34629658065339,33.68110784666854,21,25,5,16,3,1,1,0
Portugal,Belgium,Friendly,2017-10-26,Home,0,2,68.17030982983455,38.40632936028708,1,10,18,17,2,0,1,0
England,Netherlands,Tournament,2017-10-27,Away,5,2,54.773782215613444,48.97571682940256,28,11,17,14,1,1,1,0
Portugal,France,Qualifier,2017-10-28,Away,1,0,59.126964075820226,41.53924168934911,24,19,18,18,2,3,0,1
Italy,Brazil,Tournament,2017-10-29,Away,2,4,57.97634141227474,48.1388895012618,6,25,19,10,4,4,1,1
Netherlands,Netherlands,Friendly,2017-10-30,Away,5,1,54.84544780088626,60.3481399888349,8,14,9,6,4,0,1,1
France,Belgium,Qualifier,2017-10-31,Home,2,3,30.774207033234088,46.82553735102754,13,11,8,14,2,1,0,1
Belgium,Netherlands,Friendly,2017-11-01,Neutral,5,4,44.23626728342545,37.879898248317545,2,3,7,18,3,2,1,1
Germany,Germany,Qualifier,2017-11-02,Away,1,2,34.00313254845921,44.31870562339729,26,1,11,9,2,1,1,1
Italy,Netherlands,Tournament,2017-11-03,Away,4,1,42.010364405287106,59.71924872594133,8,28,14,9,2,0,1,1
Portugal,France,Qualifier,2017-11-04,Home,5,3,32.7425922770439,46.96248480855111,22,27,15,9,2,3,1,1
Spain,England,Friendly,2017-11-05,Home,0,3,66.80125986605327,39.981514118841545,1,21,5,10,1,4,1,0
France,England,Qualifier,2017-11-06,Home,5,3,48.053196626238105,47.09646556829327,13,23,10,7,1,2,1,1
Italy,Portugal,Qualifier,2017-11-07,Away,1,0,37.57457790701542,48.19226750730639,1,3,12,14,2,0,0,1
Germany,Belgium,Tournament,2017-11-08,Neutral,5,0,53.39116924255808,41.85508819108193,10,9,6,9,3,3,0,1
Netherlands,Germany,Friendly,2017-11-09,Home,0,1,37.85803733490481,69.82740356772155,28,1,10,12,4,1,0,0
France,France,Qualifier,2017-11-10,Home,0,2,62.17761287161705,60.70504075554629,5,22,15,8,4,3,0,0
Germany,France,Tournament,2017-11-11,Home,1,1,42.236764389610045,57.69819947816373,23,12,5,18,4,3,1,1
England,Spain,Qualifier,2017-11-12,Neutral,2,2,42.59602531459723,64.19467938280576,20,12,17,9,0,4,1,0
England,Argentina,Friendly,2017-11-13,Away,5,4,64.79803775665677,56.65676783061784,13,6,17,19,3,0,1,1
Germany,Belgium,Qualifier,2017-11-14,Away,4,3,52.36811538600939,61.63921372220449,26,29,10,19,1,3,1,0
Italy,France,Qualifier,2017-11-15,Away,0,3,65.4920842302204,46.50102578074892,5,8,10,5,4,1,1,0
France,Italy,Qualifier,2017-11-16,Home,0,0,46.51552119461432,50.01487079637311,10,29,9,5,1,1,0,1
Italy,France,Qualifier,2017-11-17,Away,5,4,43.75710786208312,31.879855332113976,3,3,11,12,1,4,0,0
Brazil,Spain,Friendly,2017-11-18,Home,2,5,50.248119890644325,41.22585565635263,2,28,18,6,1,3,0,1
Portugal,Netherlands,Tournament,2017-11-19,Neutral,5,4,32.459666848116385,44.720496369332636,2,21,9,14,1,1,1,1
Brazil,Brazil,Tournament,2017-11-20,Neutral,1,2,36.16803084837285,55.01880901677319,5,11,19,14,2,1,0,0
England,Brazil,Qualifier,2017-11-21,Away,4,4,38.780865429052696,48.568451391756135,4,26,18,11,1,4,1,0
Netherlands,Italy,Friendly,2017-11-22,Home,5,0,62.66709130745848,54.313530496931975,2,11,12,11,0,3,0,1
Argentina,Italy,Friendly,2017-11-23,Home,0,2,59.35195027643043,58.53309338055527,21,5,6,15,1,4,0,1
Portugal,Portugal,Friendly,2017-11-24,Away,0,1,37.73229115135774,31.70874670670682,26,24,10,18,4,3,1,1
England,Brazil,Friendly,2017-11-25,Neutral,1,2,41.06990257494104,40.33110988014458,100,7,9,13,1,1,0,1
Italy,Netherlands,Friendly,2017-11-26,Neutral,2,1,67.77047453868511,36.83615490178929,24,19,14,5,4,0,1,0
Italy,Brazil,Friendly,2017-11-27,Neutral,5,5,33.43211848904097,37.49820476683885,9,7,6,6,1,1,0,0
Italy,Argentina,Qualifier,2017-11-28,Neutral,3,2,51.8982039259224,50.12501582527966,9,10,15,18,3,0,1,1
Netherlands,Belgium,Tournament,2017-11-29,Neutral,2,3,50.88027968057996,59.59915105999701,24,8,17,5,2,3,0,1
Brazil,Brazil,Tournament,2017-11-30,Away,0,5,59.028312686307565,40.91108135701509,25,21,11,5,4,3,1,1
Argentina,England,Qualifier,2017-12-01,Away,5,1,40.4574150541401,62.97796952542849,4,27,8,15,0,2,0,1
Italy,Portugal,Tournament,2017-12-02,Away,0,0,67.39090603191619,65.69826068834296,8,21,10,8,1,3,1,1
Belgium,Spain,Friendly,2017-12-03,Neutral,4,5,46.4233152651478,44.021354880814094,18,14,9,12,4,3,0,1
Portugal,Italy,Friendly,2017-12-04,Neutral,2,5,41.428784289368195,57.254261558169006,9,27,8,14,2,2,1,1
France,Argentina,Tournament,2017-12-05,Away,3,5,43.47477667383459,34.68197176340433,29,1,17,12,1,0,1,0
Belgium,Italy,Friendly,2017-12-06,Away,4,1,43.94889395201142,59.76113141943287,25,13,6,16,2,3,0,0
Argentina,Portugal,Friendly,2017-12-07,Neutral,3,1,37.957136546611196,36.60095501906475,27,24,17,16,0,4,1,1
Netherlands,France,Tournament,2017-12-08,Home,4,2,67.12215679231042,57.49663215084084,3,29,17,15,4,3,1,0
Argentina,Argentina,Qualifier,2017-12-09,Away,2,3,36.995007384373366,46.87600013840738,6,6,11,19,0,3,1,1
France,Germany,Tournament,2017-12-10,Neutral,0,5,65.31330537357476,67.13825286474163,28,6,9,13,2,1,1,0
Portugal,Argentina,Tournament,2017-12-11,Neutral,3,2,46.197168797617095,48.57842327329589,23,21,17,6,3,3,1,1
France,Portugal,Tournament,2017-12-12,Away,2,2,40.771059340430064,31.23611269870379,19,5,7,17,3,3,0,1
Germany,Spain,Tournament,2017-12-13,Home,3,3,37.94035811354645,49.22676144983588,5,3,10,11,4,4,0,1
Portugal,Argentina,Qualifier,2017-12-14,Neutral,2,2,50.1736931963308,61.81994975439972,17,12,12,16,1,2,0,0
Argentina,Portugal,Qualifier,2017-12-15,Away,4,3,56.77034171958265,55.883373235474,27,15,15,18,0,2,1,0
Italy,Netherlands,Friendly,2017-12-16,Neutral,2,0,65.92884121841925,68.65260786458697,19,3,14,8,3,2,1,0
Argentina,Belgium,Friendly,2017-12-17,Neutral,4,3,56.097863348405376,63.73089960258983,28,16,14,7,3,1,1,1
Argentina,Brazil,Tournament,2017-12-18,Neutral,0,4,49.346499610910804,51.062066515902515,24,18,16,16,1,3,1,0
Portugal,Netherlands,Friendly,2017-12-19,Neutral,4,3,31.339042583129046,38.260822624215926,3,9,6,8,0,0,1,1
Germany,Portugal,Qualifier,2017-12-20,Home,1,3,66.61707622702478,30.150985192884924,8,8,15,8,2,0,0,1
Argentina,England,Friendly,2017-12-21,Away,0,4,66.09476971929759,69.22009588005473,9,11,14,7,3,4,1,1
Belgium,France,Friendly,2017-12-22,Away,5,3,45.148678692833,67.5327879321068,22,3,16,13,4,1,0,0
England,Brazil,Friendly,2017-12-23,Away,5,1,31.1613865070245,40.96575976300771,23,5,8,12,4,1,0,0
Spain,England,Tournament,2017-12-24,Away,2,2,59.33478206030415,55.528631448949085,22,10,7,18,2,3,1,0
Spain,Spain,Friendly,2017-12-25,Away,2,2,61.66723507428529,59.169582515446145,8,5,11,16,1,0,1,0
Argentina,Italy,Qualifier,2017-12-26,Home,1,0,51.69863318221388,53.1205384413038,14,8,14,14,1,1,0,0
Belgium,Germany,Qualifier,2017-12-27,Neutral,2,0,46.11499941051283,63.71846699352391,23,6,12,18,3,4,0,0
Italy,Brazil,Qualifier,2017-12-28,Neutral,0,4,64.04531351211996,33.11298593728055,10,23,12,16,3,0,1,1
Netherlands,Netherlands,Qualifier,2017-12-29,Away,0,1,37.70065666747027,65.85976136600854,17,21,18,16,3,1,1,1
Netherlands,France,Friendly,2017-12-30,Neutral,4,0,47.582327568632834,45.68076044665968,3,16,8,6,2,3,0,0
Portugal,England,Tournament,2017-12-31,Neutral,3,2,30.979444428747627,49.22760086299166,3,12,19,7,2,3,0,1
Spain,Portugal,Qualifier,2018-01-01,Neutral,2,0,36.560421119099445,47.78934601686689,3,17,19,17,3,3,0,1
Argentina,Brazil,Qualifier,2018-01-02,Away,1,0,67.63324938712043,51.251448918774194,4,8,14,14,1,3,0,1
Netherlands,Italy,Tournament,2018-01-03,Away,5,3,53.1233300145903,53.92673887543014,29,4,6,11,0,0,0,0
Argentina,Portugal,Tournament,2018-01-04,Home,0,0,62.223693181112736,58.41373731916768,17,21,10,9,3,0,1,0
Portugal,England,Qualifier,2018-01-05,Away,0,4,49.46001656410854,50.997613563008166,14,17,19,5,1,1,1,0
Spain,France,Qualifier,2018-01-06,Home,-1,2,63.39308392034161,57.390930240355615,27,3,7,5,1,4,1,1
France,Argentina,Tournament,2018-01-07,Away,3,4,51.55802043365276,43.53189774362802,2,18,12,16,4,2,0,0
England,Italy,Qualifier,2018-01-08,Neutral,3,4,30.181508536439424,67.46723481031947,12,16,7,12,0,2,1,1
England,Portugal,Qualifier,2018-01-09,Home,2,5,65.98796028123313,32.581240791990766,5,28,6,10,3,3,1,0
Netherlands,Italy,Friendly,2018-01-10,Home,5,1,35.94264479343651,51.82162434244374,27,2,17,8,0,1,1,1
England,Spain,Tournament,2018-01-11,Home,1,5,48.02219045231084,33.49584704086859,22,13,17,7,3,2,0,0
France,Portugal,Friendly,2018-01-12,Away,3,5,49.066973153948986,47.71068144147721,25,1,13,17,0,2,1,1
Argentina,Brazil,Friendly,2018-01-13,Home,4,3,31.889450947588553,40.303294306113195,2,22,13,13,0,2,1,1
Portugal,Argentina,Tournament,2018-01-14,Away,3,4,32.1228154175698,67.4761379833059,12,24,13,13,1,2,0,1
France,Argentina,Friendly,2018-01-15,Home,0,1,60.502072377788274,30.523015455437736,9,3,7,16,0,2,1,0
Portugal,Germany,Qualifier,2018-01-16,Away,1,2,42.01803160202779,45.648145245658284,23,1,6,8,0,1,0,0
Portugal,Italy,Friendly,2018-01-17,Home,2,2,46.385126649595364,61.28170998827818,9,26,18,15,3,2,0,1
Spain,Netherlands,Tournament,2018-01-18,Neutral,3,1,52.56450061860959,37.53845650605863,20,2,18,12,1,2,0,0
Argentina,Argentina,Qualifier,2018-01-19,Neutral,0,4,44.93544418189367,62.62352818665012,23,19,8,8,0,1,0,0
Belgium,Argentina,Qualifier,2018-01-20,Home,4,4,61.00149706172776,64.38900351299296,1,22,6,12,1,0,0,0
England,Spain,Qualifier,2018-01-21,Away,4,3,65.3785861447667,58.3201199858308,24,3,12,11,1,0,1,0
Belgium,Belgium,Qualifier,2018-01-22,Away,2,3,32.38871536479433,38.36276729704683,7,25,14,18,2,0,1,1
Spain,Spain,Friendly,2018-01-23,Away,2,5,55.41613535618435,40.88154626326249,23,28,5,16,3,2,1,1
Portugal,Spain,Friendly,2018-01-24,Neutral,3,2,42.706400298285935,36.67738914781448,18,1,6,10,2,1,1,1
Netherlands,Belgium,Qualifier,2018-01-25,Neutral,2,3,53.33101113667169,37.36254948805599,10,23,10,11,1,0,0,1
England,Italy,Tournament,2018-01-26,Neutral,5,1,49.35629272529194,31.459691859015013,15,26,13,10,0,3,1,1
England,Portugal,Qualifier,2018-01-27,Away,5,2,43.34714084049129,64.29260324793066,9,24,14,15,3,3,1,1
Argentina,France,Friendly,2018-01-28,Away,0,4,33.7926258532257,51.14009149711343,11,9,16,16,4,1,0,1
Germany,Netherlands,Qualifier,2018-01-29,Away,0,2,52.3775964601159,43.11036895548206,24,8,9,10,3,2,0,0
Brazil,Argentina,Friendly,2018-01-30,Home,0,0,34.51170265707121,41.58307984253632,1,5,9,18,2,0,0,1
Brazil,Germany,Qualifier,2018-01-31,Home,5,2,36.2448035270678,51.78785185790346,11,1,7,11,3,2,1,1
Brazil,Netherlands,Tournament,2018-02-01,Home,3,3,69.28701019723641,43.06739287159796,1,15,12,8,0,0,0,1
Germany,Portugal,Qualifier,2018-02-02,Neutral,3,1,42.668207613883155,64.54871900041391,5,17,16,16,3,4,0,0
Argentina,Belgium,Tournament,2018-02-03,Neutral,2,4,53.377447584858835,38.43829740147643,18,15,10,9,4,4,0,0
Germany,Netherlands,Tournament,2018-02-04,Away,3,4,40.88927768076256,65.29207165651411,1,8,14,13,2,2,0,1
Brazil,Argentina,Qualifier,2018-02-05,Home,0,3,64.62037754424587,56.56369812013716,10,23,16,6,2,3,1,1
Spain,Netherlands,Tournament,2018-02-06,Away,1,3,41.33360763493402,68.2651688181988,28,21,6,13,1,2,1,0
France,France,Tournament,2018-02-07,Home,0,3,44.67540606549956,30.604289665427736,13,26,16,9,2,0,0,0
Portugal,Belgium,Friendly,2018-02-08,Home,5,0,54.33550311240133,32.36382262844626,27,3,16,14,4,2,1,1
Germany,Netherlands,Friendly,2018-02-09,Away,-1,1,64.79946830578346,50.03578375746293,8,9,9,5,4,2,1,1
Argentina,Argentina,Tournament,2018-02-10,Away,2,0,62.64856618124053,66.49515320128194,28,20,8,15,2,0,0,1
Argentina,Argentina,Qualifier,2018-02-11,Home,4,3,40.55439542227853,59.2317980612058,13,14,15,11,3,3,0,1
Belgium,Netherlands,Tournament,2018-02-12,Home,3,1,63.182198299821366,54.88543730077333,20,6,14,9,4,4,1,1
France,Italy,Qualifier,2018-02-13,Neutral,3,3,58.04781261563853,31.26408622640735,2,27,13,7,2,0,0,1
Netherlands,Germany,Friendly,2018-02-14,Away,5,1,69.59313961644065,44.16655153650437,21,20,8,7,2,2,1,1
England,England,Qualifier,2018-02-15,Away,0,4,67.41790671945006,43.83411571611429,12,25,12,5,3,1,0,0
Brazil,Spain,Tournament,2018-02-16,Away,0,0,51.32546888181509,51.683427290396224,27,4,5,11,2,2,1,1
Netherlands,Belgium,Tournament,2018-02-17,Away,1,5,59.997144767701656,40.313111173870475,29,24,9,18,0,2,1,0
Belgium,England,Tournament,2018-02-18,Home,3,3,52.80718807948914,40.6862286071104,13,27,13,6,1,1,1,0
Brazil,Portugal,Tournament,2018-02-19,Neutral,5,3,53.79981768459889,54.834432003070376,28,12,7,12,4,2,1,0
France,Portugal,Tournament,2018-02-20,Away,2,2,34.06003319911115,67.78270173256627,22,28,15,18,3,1,0,1
Belgium,Argentina,Qualifier,2018-02-21,Home,0,5,30.089828339106212,56.40716414546781,8,3,17,8,3,2,0,0
Brazil,Portugal,Tournament,2018-02-22,Home,3,4,31.927454978995492,56.7252049592414,15,24,10,8,1,3,1,0
France,Italy,Friendly,2018-02-23,Home,4,3,68.66522671577698,69.44859253552463,7,27,15,17,0,4,0,1
Italy,Germany,Tournament,2018-02-24,Home,5,0,35.05072911691957,36.139126682791606,7,3,14,15,1,3,0,1
Netherlands,Portugal,Qualifier,2018-02-25,Home,1,4,31.77558816700744,31.353390968014416,17,27,10,9,2,0,1,1
Netherlands,France,Tournament,2018-02-26,Away,0,3,42.3857683882866,59.82055802985193,19,21,15,13,3,0,1,1
England,Germany,Tournament,2018-02-27,Away,0,0,53.52719759818113,47.55149732759489,3,17,10,19,2,2,1,1
France,Italy,Qualifier,2018-02-28,Neutral,2,2,67.93842577211731,47.15293419008025,7,6,8,11,3,0,1,1
Germany,England,Tournament,2018-03-01,Away,0,2,57.995503142059476,39.012135054521295,12,15,11,7,3,0,1,1
Italy,Germany,Qualifier,2018-03-02,Home,5,0,41.05411875600667,50.27452162076154,14,11,7,8,2,2,1,1
Spain,Germany,Tournament,2018-03-03,Neutral,3,4,67.56232072948593,47.68689374899493,2,18,10,13,1,2,1,1
Brazil,England,Friendly,2018-03-04,Home,3,0,31.441643010608033,43.81800031385315,26,28,14,5,4,4,0,1
Italy,Italy,Tournament,2018-03-05,Home,3,5,69.16216029067171,47.70980637353675,7,3,9,12,4,1,0,0
France,Portugal,Qualifier,2018-03-06,Away,4,0,32.34562803305796,45.35339082891559,16,27,7,12,1,2,1,1
Portugal,Argentina,Friendly,2018-03-07,Home,4,2,60.15399892228664,67.59585432358146,9,17,6,18,0,4,0,0
Brazil,Belgium,Qualifier,2018-03-08,Away,0,2,31.81190156693812,69.21006629903341,1,11,16,17,1,3,1,0
Argentina,England,Tournament,2018-03-09,Home,4,2,67.26245769474028,63.59603730047016,12,6,19,11,1,0,1,1
Netherlands,England,Friendly,2018-03-10,Neutral,4,5,34.34663586924557,69.616563640485,2,5,5,17,1,1,0,1
France,England,Qualifier,2018-03-11,Home,2,3,32.019160521085404,40.6287771611672,27,10,12,10,4,3,1,1
Argentina,England,Friendly,2018-03-12,Away,4,5,65.5706061929979,63.71700439675759,22,2,5,11,3,2,0,1
England,Belgium,Friendly,2018-03-13,Home,1,3,33.831755356705,46.26516047610484,18,15,9,14,0,3,1,0
Belgium,Belgium,Qualifier,2018-03-14,Away,1,5,61.91725163120334,59.845455911110136,14,11,9,8,0,4,1,1
Spain,Portugal,Friendly,2018-03-15,Away,1,1,59.881385618240316,38.055705625218934,12,24,5,8,0,2,0,0
Spain,Netherlands,Qualifier,2018-03-16,Neutral,0,3,53.95512153953465,62.478243589652294,18,25,13,9,2,2,1,0
Argentina,Netherlands,Friendly,2018-03-17,Away,3,4,45.11850880877226,33.33857704627678,5,14,9,8,1,1,1,1
Netherlands,Brazil,Friendly,2018-03-18,Neutral,2,4,66.62322198531956,40.822308268656144,7,14,13,8,3,4,1,1
England,England,Friendly,2018-03-19,Neutral,0,2,64.84325023472498,62.87810467388623,4,3,15,13,3,0,1,0
Portugal,England,Tournament,2018-03-20,Home,3,5,47.04988443825972,59.88636887287406,13,28,10,10,2,3,0,1
Netherlands,Germany,Tournament,2018-03-21,Neutral,2,0,39.26899825258593,50.049870199651565,16,22,11,18,4,1,0,1
Italy,Netherlands,Qualifier,2018-03-22,Away,2,2,40.90286677673658,56.91171097160836,22,22,11,7,2,1,0,1
Spain,Portugal,Friendly,2018-03-23,Away,2,0,38.81294309450216,37.422960979837185,28,16,6,7,2,2,0,1
Italy,Argentina,Qualifier,2018-03-24,Neutral,1,5,51.650078510421764,56.7105448938512,16,14,18,14,1,3,0,1
Brazil,Brazil,Tournament,2018-03-25,Home,1,2,64.74155314281191,30.3190466936597,19,10,9,12,4,1,0,1
Germany,Brazil,Tournament,2018-03-26,Neutral,1,2,60.94447868792682,63.32863469526024,4,22,6,7,2,2,1,1
France,Portugal,Tournament,2018-03-27,Neutral,2,4,61.82041839781756,50.651504319957745,20,8,8,18,3,2,0,0
England,Argentina,Tournament,2018-03-28,Away,5,0,47.93153966798582,67.75513806438326,20,12,16,8,1,4,0,1
Netherlands,Germany,Qualifier,2018-03-29,Home,2,1,42.89779327193521,49.12657069291127,28,5,7,10,4,2,1,0
Spain,Belgium,Friendly,2018-03-30,Home,1,1,60.2942308282021,47.32349129305364,1,26,16,13,3,0,0,0
Italy,Spain,Qualifier,2018-03-31,Home,2,2,61.7319310341795,48.00211249591256,13,26,17,10,0,4,1,1
Belgium,Netherlands,Friendly,2018-04-01,Home,1,5,57.81414825922823,44.389144811011846,20,13,15,7,1,4,1,1
Brazil,England,Tournament,2018-04-02,Away,1,2,31.28428490169074,36.66700335370616,20,24,10,16,3,0,0,1
France,Portugal,Friendly,2018-04-03,Home,1,4,53.587387522739355,63.68250907782023,22,12,15,10,2,0,1,0
France,Netherlands,Tournament,2018-04-04,Home,5,0,43.88183316991538,45.56341631033179,9,3,19,8,2,1,1,0
Netherlands,England,Qualifier,2018-04-05,Home,3,2,37.8477099610627,51.16433712755434,10,23,9,9,1,1,0,1
England,Spain,Friendly,2018-04-06,Away,2,5,57.775810533691946,30.795476658537456,6,17,5,19,4,0,1,1
Portugal,Spain,Qualifier,2018-04-07,Away,0,1,40.74104542744311,32.41015490855996,22,20,19,18,2,1,0,1
Belgium,Belgium,Tournament,2018-04-08,Home,1,0,66.51364635823423,53.88732917911378,7,5,6,9,3,0,1,1
Netherlands,Italy,Qualifier,2018-04-09,Away,5,2,41.9231629505278,65.16912330054436,23,23,17,7,0,0,1,0
Italy,Spain,Tournament,2018-04-10,Neutral,0,0,52.20722398574574,49.73583312104298,16,6,11,9,4,2,1,0
Germany,Netherlands,Tournament,2018-04-11,Home,3,4,63.110486546065346,36.598983224202534,17,13,13,16,1,1,0,0
Argentina,France,Tournament,2018-04-12,Away,2,1,46.08473352109533,34.64509257463875,24,6,5,16,2,4,1,0
Portugal,France,Qualifier,2018-04-13,Home,5,5,63.14631836964108,65.99152005571696,1,13,8,9,4,4,0,0
England,England,Qualifier,2018-04-14,Home,1,0,58.9478558987465,58.06551416061028,9,15,18,11,0,1,0,1
Brazil,England,Friendly,2018-04-15,Away,1,1,66.83463812332619,68.64782218045829,14,2,19,13,4,1,0,0
Portugal,Italy,Friendly,2018-04-16,Neutral,1,2,43.033382503590616,33.29394485375599,15,11,19,9,4,1,1,1
Spain,France,Qualifier,2018-04-17,Home,5,5,34.20112259120529,66.10451420093653,4,16,15,13,1,1,1,0
England,England,Qualifier,2018-04-18,Neutral,0,5,47.213979917217095,63.82529250107264,25,18,7,19,0,2,1,0
Germany,Spain,Qualifier,2018-04-19,Away,3,3,61.432538767565525,65.72740731696615,8,2,16,9,0,0,0,1
Spain,England,Qualifier,2018-04-20,Home,2,0,48.01740453560221,30.230518264285582,25,10,16,8,4,1,0,0
Portugal,Brazil,Tournament,2018-04-21,Away,3,1,40.47951720772282,59.67613922108779,15,13,15,10,2,1,0,1
Argentina,Italy,Tournament,2018-04-22,Away,1,0,31.104127102920593,51.95752456646556,22,28,17,12,4,0,0,1
Argentina,Portugal,Tournament,2018-04-23,Away,3,2,42.5209521182331,52.92717735033679,25,8,9,8,3,0,1,1
Germany,Argentina,Qualifier,2018-04-24,Away,0,2,58.53524444652552,48.768079494110225,4,7,9,9,2,0,0,1
France,Germany,Tournament,2018-04-25,Home,4,5,35.90455024906946,59.70707670992877,19,16,17,14,1,3,0,0
Belgium,Argentina,Tournament,2018-04-26,Neutral,4,5,43.635175212289525,69.99357161905618,3,17,16,5,0,4,1,0
Brazil,Argentina,Friendly,2018-04-27,Neutral,2,1,30.80925846820449,58.42153437096654,8,9,14,14,2,1,1,1
France,Belgium,Friendly,2018-04-28,Home,2,4,58.870200129039645,57.12201664157291,2,27,14,16,1,2,0,1
Argentina,Portugal,Tournament,2018-04-29,Home,3,0,65.22732188204701,56.17750862720324,28,27,15,19,4,2,1,0
Argentina,England,Tournament,2018-04-30,Neutral,2,0,52.74113270752137,57.808466793894304,22,8,6,5,1,0,0,0
Italy,Belgium,Tournament,2018-05-01,Neutral,5,2,31.034884235705242,43.684498697233295,25,29,9,18,3,2,1,1
Spain,Argentina,Qualifier,2018-05-02,Home,0,0,38.70501250198132,42.80878974665675,25,25,8,12,1,4,1,1
Portugal,Brazil,Friendly,2018-05-03,Away,1,1,47.53876541179713,61.373519130820256,8,20,17,11,2,1,1,1
Brazil,Germany,Friendly,2018-05-04,Home,1,3,53.503248822459426,32.123520694118625,8,5,5,9,0,2,0,1
Germany,Argentina,Friendly,2018-05-05,Neutral,3,5,49.851053698818845,60.36990952813535,17,27,16,13,2,4,1,0
Portugal,France,Tournament,2018-05-06,Away,1,2,66.63464185645086,62.55366340678274,16,5,5,5,2,4,0,1
Italy,Portugal,Qualifier,2018-05-07,Neutral,3,5,67.5454526560602,50.86391838345071,16,27,5,19,0,3,0,0
Argentina,Portugal,Friendly,2018-05-08,Away,2,5,34.28609850156662,66.40592381652061,16,25,12,7,3,3,1,1
Germany,Portugal,Friendly,2018-05-09,Neutral,2,5,35.53563512829355,48.92349748588738,27,24,19,10,2,2,0,1
Argentina,Italy,Qualifier,2018-05-10,Away,5,3,44.32219648929592,37.12346672383377,7,13,7,5,0,4,0,0
Brazil,Italy,Tournament,2018-05-11,Home,5,0,46.849395276023785,44.455945948266915,15,16,13,18,0,0,1,0
Spain,Spain,Tournament,2018-05-12,Home,0,4,53.44266770644502,66.23470023724346,17,26,19,16,2,3,1,0
Portugal,Netherlands,Friendly,2018-05-13,Away,1,5,60.92638999150627,69.74953153297548,25,22,14,10,0,4,0,0
Portugal,Germany,Friendly,2018-05-14,Away,5,1,35.430708222469704,46.87415867957934,3,27,6,6,4,3,0,1
France,Belgium,Qualifier,2018-05-15,Home,0,5,62.10558784310162,36.673861823746314,1,26,13,14,2,1,0,1
Germany,England,Friendly,2018-05-16,Home,4,5,54.401132539012565,41.453171209365514,8,11,15,18,3,4,0,1
Belgium,Argentina,Qualifier,2018-05-17,Away,5,0,69.23537843180006,52.13185370055856,7,15,13,9,4,4,1,1
Italy,Netherlands,Friendly,2018-05-18,Away,0,1,56.04670712330129,52.883836731085864,18,26,19,15,3,1,0,0
Belgium,England,Friendly,2018-05-19,Home,3,0,58.643660189628704,55.2023762677432,23,17,8,14,2,3,1,1
France,Belgium,Friendly,2018-05-20,Neutral,3,5,37.80835465608678,63.41413490290188,5,15,8,19,1,1,0,0
Brazil,Netherlands,Tournament,2018-05-21,Home,0,0,60.75447821436145,58.44856606752111,15,23,8,6,0,2,0,1
Italy,England,Qualifier,2018-05-22,Away,2,0,33.17064710732695,40.43360906010028,7,25,16,5,4,0,1,1
Spain,Brazil,Qualifier,2018-05-23,Away,4,2,56.26121744752744,45.80176242784002,10,12,5,18,2,3,1,0
Belgium,Italy,Tournament,2018-05-24,Neutral,0,3,32.22291635394805,63.59266335216054,16,4,9,16,0,4,1,1
Spain,Belgium,Tournament,2018-05-25,Home,5,4,34.60903285238387,55.33530682422844,28,4,17,18,1,2,0,1
Belgium,Germany,Tournament,2018-05-26,Away,2,3,34.31465097266363,36.656721929788944,23,21,10,18,3,3,1,0
Spain,France,Qualifier,2018-05-27,Home,0,3,32.09936259290225,43.021552163212746,2,16,8,16,2,0,0,0
Belgium,Brazil,Friendly,2018-05-28,Away,1,1,42.84555667783586,61.64363649723605,18,15,12,17,2,4,0,0
